,RADeg,decDeg,SNR,numSigPix,deltaT_c,fluxmJy,method,snr_threshold,iter_num,idx,remeasured,component,patch_num,patch_idx
10108,26.675333333333416,5.355333333333351,11.629868712283423,3,996.154846648453,0.701379149966599,map,10.0,34,10388,False,unknown,0,10330
10109,25.949333333333424,6.266666666666688,11.629851090253265,3,1135.8215450648026,0.798422903140591,map,10.0,34,10389,False,unknown,0,10331
10110,25.07066666666676,5.350666666666685,11.627832123779186,3,1067.8986517164717,0.7518986725654967,map,10.0,34,10390,False,unknown,0,10332
10111,25.98800000000009,6.7493333333333565,11.626689422803482,4,927.8436927316322,0.6515990799854382,map,10.0,34,10391,False,unknown,0,10333
10112,26.65000000000009,5.074000000000017,11.62666893491828,4,1004.7654368453576,0.7077588680138748,map,10.0,34,10392,False,unknown,0,10334
10113,26.324666666666747,6.212000000000021,11.625564520631125,3,1212.103078412483,0.8521343635504476,map,10.0,34,10393,False,unknown,0,10335
10114,25.08866666666674,5.287333333333351,11.625423718163365,4,1086.299962315477,0.7649333118813584,map,10.0,34,10394,False,unknown,0,10336
10115,26.308000000000074,5.029333333333351,11.624808685419104,3,953.32536170714,0.6715706972817275,map,10.0,34,10395,False,unknown,0,10337
10116,26.212000000000096,5.249333333333351,11.622817466529945,6,990.927557065632,0.6978184235610564,map,10.0,34,10396,False,unknown,0,10338
10117,26.44600000000009,6.087333333333354,11.62194387510792,4,1113.5527922722129,0.7830344536058708,map,10.0,34,10397,False,unknown,0,10339
10118,26.01533333333343,5.312000000000018,11.62187484551944,3,992.2164548368822,0.698655194146918,map,10.0,34,10398,False,unknown,0,10340
10119,25.71266666666674,5.164666666666684,11.621874486848515,5,1000.3329036519192,0.7045364357790115,map,10.0,34,10399,False,unknown,0,10341
10120,26.712666666666752,6.033333333333354,11.621338308356606,3,1067.5620723892646,0.7507698251347309,map,10.0,34,10400,False,unknown,0,10342
10121,25.28733333333342,5.572000000000019,11.621331085681636,3,978.1391664272546,0.6884455764121473,map,10.0,34,10401,False,unknown,0,10343
10122,25.368666666666748,6.077333333333354,11.619922259053862,3,865.6446620221421,0.6087204035568476,map,10.0,34,10402,False,unknown,0,10344
10123,26.629333333333435,5.016000000000017,11.619710272248016,4,1008.982743220221,0.7107929506634683,map,10.0,34,10403,False,unknown,0,10345
10124,26.664000000000087,5.328666666666685,11.619597272708411,3,1006.9712367477692,0.7090254334646908,map,10.0,34,10404,False,unknown,0,10346
10125,26.961333333333435,6.682000000000023,11.618844181620643,5,984.6400947827044,0.6915813036423268,map,10.0,34,10405,False,unknown,0,10347
10126,27.01266666666676,5.508000000000019,11.617998306636604,3,952.9317906524872,0.6707762832696127,map,10.0,34,10406,False,unknown,0,10348
10127,25.205333333333407,5.250666666666684,11.617848441435408,3,1073.4834571213958,0.7559532589544177,map,10.0,34,10407,False,unknown,0,10349
10128,25.07533333333341,5.712666666666686,11.617606224300069,3,971.129597562308,0.683346530942046,map,10.0,34,10408,False,unknown,0,10350
10129,26.25800000000008,5.388000000000019,11.616574546757024,2,993.6087902664154,0.6995493280875884,map,10.0,34,10409,False,unknown,0,10351
10130,25.24800000000009,5.887333333333353,11.616429512907905,4,929.99960070857,0.6542023273840069,map,10.0,34,10410,False,unknown,0,10352
10131,25.27533333333343,6.942000000000023,11.615383142323312,4,882.6149772376764,0.6195858541037464,map,10.0,34,10411,False,unknown,0,10353
10132,25.97866666666676,5.324666666666685,11.61531209517931,3,983.4355784906248,0.6924580637178087,map,10.0,34,10412,False,unknown,0,10354
10133,26.774666666666747,6.354666666666688,11.613543346831191,2,1018.6023646830888,0.7159025834539048,map,10.0,34,10413,False,unknown,0,10355
10134,25.263333333333406,5.674666666666686,11.61306350922068,3,972.9424629650524,0.6846669629627646,map,10.0,34,10414,False,unknown,0,10356
10135,25.903333333333418,6.229333333333354,11.612673995214156,4,1134.0020700747136,0.797201242538351,map,10.0,34,10415,False,unknown,0,10357
10136,25.07533333333341,5.024666666666684,11.6124817698545,3,1060.8213353355618,0.7473015972445282,map,10.0,34,10416,False,unknown,0,10358
10137,26.49666666666676,5.488000000000018,11.611071678813444,4,994.3289464361912,0.6999394515619569,map,10.0,34,10417,False,unknown,0,10360
10138,26.954000000000093,5.375333333333352,11.610880955817716,4,951.0149395491944,0.6695750700876505,map,10.0,34,10418,False,unknown,0,10361
10139,25.94066666666676,5.796666666666686,11.610859527628394,4,987.9176566534233,0.6950562771822112,map,10.0,34,10419,False,unknown,0,10362
10140,25.258666666666752,6.303333333333355,11.606401555869729,2,820.6747869621636,0.5768505302095449,map,10.0,34,10420,False,unknown,0,10363
10141,24.98266666666676,6.284666666666688,11.605843821731485,3,790.9016623946303,0.5559430582318327,map,10.0,34,10421,False,unknown,0,10364
10142,25.654000000000075,6.1040000000000205,11.605779560003729,3,870.4318715904159,0.6120561580391141,map,10.0,34,10422,False,unknown,0,10365
10143,26.766666666666765,5.530000000000019,11.605548858623926,3,981.401807198373,0.6907911708175832,map,10.0,34,10423,False,unknown,0,10366
10144,25.974666666666742,6.028666666666688,11.602563343332742,3,1139.252844161775,0.8011936362339587,map,10.0,34,10424,False,unknown,0,10367
10145,26.158666666666747,6.7446666666666895,11.601742044842709,3,930.7176686147136,0.653623739969309,map,10.0,34,10425,False,unknown,0,10368
10146,25.17466666666674,5.650000000000019,11.601213057805406,3,982.6268721782268,0.6915113178535685,map,10.0,34,10426,False,unknown,0,10369
10147,25.329333333333413,5.749333333333353,11.601171223541275,4,943.8669354058254,0.6641198072624687,map,10.0,34,10427,False,unknown,0,10370
10148,25.195333333333405,5.300000000000018,11.599923994956548,2,1071.170843627736,0.7542644640449685,map,10.0,34,10428,False,unknown,0,10371
10149,25.351333333333407,6.00400000000002,11.599840950742289,4,870.8674119577402,0.6124758235344631,map,10.0,34,10429,False,unknown,0,10372
10150,27.086666666666748,6.783333333333356,11.59914853629098,4,987.1334900320944,0.6931876287283264,map,10.0,34,10430,False,unknown,0,10373
10151,26.125333333333423,5.028666666666684,11.598629690066716,4,1001.4962836368152,0.7055054485230093,map,10.0,34,10431,False,unknown,0,10374
10152,25.98866666666676,6.032666666666687,11.59836951562819,4,1164.1261482649716,0.818680120978507,map,10.0,34,10432,False,unknown,0,10375
10153,25.366000000000085,5.6460000000000194,11.598279841196634,4,939.9961691380591,0.6615150510225585,map,10.0,34,10433,False,unknown,0,10376
10154,24.97466666666676,5.109333333333351,11.597788590146669,5,1059.486690816391,0.7462632983180321,map,10.0,34,10434,False,unknown,0,10377
10155,25.112000000000087,5.5593333333333526,11.596717738976048,5,1003.8697716873436,0.7065710023867612,map,10.0,34,10435,False,unknown,0,10378
10156,26.46333333333344,6.329333333333355,11.596660698430089,3,1138.629296135022,0.8002999742427599,map,10.0,34,10436,False,unknown,0,10379
10157,26.89533333333343,5.337333333333351,11.596087608426892,3,956.9938649290876,0.673826069063867,map,10.0,34,10437,False,unknown,0,10380
10158,26.34133333333342,6.287333333333355,11.596042681520387,2,1175.6497017726504,0.8263871029992176,map,10.0,34,10438,False,unknown,0,10381
10159,26.559333333333413,6.732666666666689,11.59592544368019,4,927.2013553708524,0.6511705645806725,map,10.0,34,10439,False,unknown,0,10382
10160,25.030000000000072,7.003333333333357,11.595610311436294,3,894.2340688749512,0.6276602274443235,map,10.0,34,10440,False,unknown,0,10383
10161,26.905333333333427,5.738666666666686,11.59492725843432,4,1015.6770473296488,0.7146600561982854,map,10.0,34,10441,False,unknown,0,10384
10162,26.646000000000083,5.479333333333352,11.592721587141115,4,991.2948473231296,0.6978137546306542,map,10.0,34,10442,False,unknown,0,10385
10163,26.04200000000008,7.110666666666691,11.591535813239382,4,928.0136244003284,0.6513056325648978,map,10.0,34,10443,False,unknown,0,10386
10164,26.26266666666676,5.318000000000018,11.59116911274186,5,988.8076721044994,0.6962481848674331,map,10.0,34,10444,False,unknown,0,10387
10165,26.209333333333408,5.704666666666686,11.590384709085347,2,1129.0603647727316,0.79448727714039,map,10.0,34,10445,False,unknown,0,10388
10166,25.954666666666743,6.536666666666688,11.590229349309404,3,1024.063313950676,0.7194826734172435,map,10.0,34,10446,False,unknown,0,10389
10167,25.29600000000009,6.508000000000022,11.589921552393712,3,787.4098724735882,0.553246934922856,map,10.0,34,10447,False,unknown,0,10390
10168,26.466000000000093,5.648666666666686,11.58947988161667,2,1044.4797413378371,0.7350411841985126,map,10.0,34,10448,False,unknown,0,10391
10169,25.24200000000008,5.970000000000021,11.589203590307848,3,925.718668120778,0.6510927599865927,map,10.0,34,10449,False,unknown,0,10392
10170,25.036666666666747,7.025333333333357,11.588772500295269,3,893.7067483187573,0.6272606713012175,map,10.0,34,10450,False,unknown,0,10393
10171,25.85066666666676,6.424666666666688,11.5882641982557,3,1079.1465638133482,0.7583508559380685,map,10.0,34,10451,False,unknown,0,10394
10172,26.13733333333342,5.704666666666686,11.584626825378272,4,1050.3835974207425,0.7391247007733841,map,10.0,34,10452,False,unknown,0,10395
10173,25.38800000000008,5.186666666666684,11.583976288953808,3,1061.78068111186,0.7477884336746179,map,10.0,34,10453,False,unknown,0,10396
10174,25.41800000000008,5.973333333333353,11.583636940070829,3,869.9027679143838,0.611831618368468,map,10.0,34,10454,False,unknown,0,10397
10175,25.109333333333428,6.628666666666689,11.583004516032464,3,774.3550315253414,0.5439423360496431,map,10.0,34,10455,False,unknown,0,10398
10176,26.89533333333343,5.854666666666686,11.58279332617514,5,1086.1640919166668,0.7640996669444599,map,10.0,34,10456,False,unknown,0,10399
10177,25.55133333333342,6.06600000000002,11.582692270396862,3,846.6807467368333,0.5953976507073121,map,10.0,34,10457,False,unknown,0,10400
10178,26.27066666666676,5.96200000000002,11.58268501228761,3,1131.8242199764377,0.7960661629786364,map,10.0,34,10458,False,unknown,0,10401
10179,25.57066666666676,6.015333333333355,11.58189007724975,3,846.3126450415714,0.5951942991232445,map,10.0,34,10459,False,unknown,0,10402
10180,25.53866666666676,5.737333333333353,11.58008209970155,4,858.8691627923438,0.6043268744283975,map,10.0,34,10460,False,unknown,0,10403
10181,25.746000000000087,5.987333333333353,11.578839132791703,2,931.4933497765988,0.6551335983286173,map,10.0,34,10461,False,unknown,0,10404
10182,25.708000000000084,5.384000000000018,11.57821329093282,2,938.6165921045392,0.6608365371066193,map,10.0,34,10462,False,unknown,0,10405
10183,26.82000000000009,6.375333333333355,11.578147729890288,3,1002.2613766451962,0.7043896240918129,map,10.0,34,10463,False,unknown,0,10406
10184,25.50533333333341,6.557333333333355,11.577209739875308,3,855.2951305229224,0.6008853360874966,map,10.0,34,10464,False,unknown,0,10407
10185,26.17933333333341,5.94600000000002,11.576704935070245,3,1127.0556270980987,0.7927353169364598,map,10.0,34,10465,False,unknown,0,10408
10186,25.78266666666673,6.607333333333355,11.576031541672656,3,962.72370109383,0.676290371721154,map,10.0,34,10466,False,unknown,0,10409
10187,25.20666666666676,5.496000000000018,11.575876993052075,3,1004.2011036726182,0.7068793288667395,map,10.0,34,10467,False,unknown,0,10410
10188,25.95000000000009,5.733333333333353,11.575616998451247,2,983.9541638915592,0.6923454537571104,map,10.0,34,10468,False,unknown,0,10411
10189,25.738000000000085,5.122666666666684,11.575473192092977,3,1005.0832672630232,0.7079287378115622,map,10.0,34,10469,False,unknown,0,10412
10190,26.12466666666676,5.326000000000018,11.575188047893784,4,984.5510986046366,0.6932420292674408,map,10.0,34,10470,False,unknown,0,10413
10191,26.27600000000008,5.436666666666685,11.574432593556493,4,990.0087544013392,0.6969580808372328,map,10.0,34,10471,False,unknown,0,10414
10192,25.393333333333423,5.116666666666685,11.573587567814208,2,1063.1426532686842,0.7488298138149365,map,10.0,34,10472,False,unknown,0,10415
10193,25.271333333333413,6.925333333333357,11.573246874467678,2,879.4137593106186,0.6173605752602527,map,10.0,34,10473,False,unknown,0,10416
10194,26.62733333333341,6.300666666666688,11.571513959406833,4,1079.7167551058571,0.7589344667942862,map,10.0,34,10474,False,unknown,0,10417
10195,25.641333333333414,6.00400000000002,11.56933208061827,2,851.173267391398,0.5986250498731075,map,10.0,34,10475,False,unknown,0,10418
10196,25.68266666666674,5.987333333333353,11.567056865227173,3,916.3130656408888,0.6444570710384723,map,10.0,34,10476,False,unknown,0,10419
10197,24.920666666666744,5.320666666666685,11.565944800852831,4,1075.81754448798,0.7575110909959585,map,10.0,34,10477,False,unknown,0,10420
10198,25.63666666666676,5.920666666666687,11.565312320626685,3,846.9136793319021,0.5957198459656263,map,10.0,34,10478,False,unknown,0,10421
10199,25.73333333333343,6.80466666666669,11.560462628842128,3,891.6024477594043,0.6260757589074557,map,10.0,34,10479,False,unknown,0,10422
10200,25.41600000000008,5.291333333333352,11.558748423720507,3,1058.7799322526382,0.7455498700209572,map,10.0,34,10480,False,unknown,0,10423
10201,25.788666666666742,6.0880000000000205,11.55692417914153,4,940.7824457217444,0.6615439807676364,map,10.0,34,10481,False,unknown,0,10424
10202,26.45666666666676,5.579333333333352,11.556227368985232,2,1031.7461045376028,0.7261666857204138,map,10.0,34,10482,False,unknown,0,10425
10203,25.087333333333408,6.528666666666688,11.555705725098624,2,771.6795399163552,0.5421723813159648,map,10.0,34,10483,False,unknown,0,10426
10204,26.478666666666754,5.638000000000019,11.55557079003872,3,1029.7715868344392,0.7247037884060336,map,10.0,34,10484,False,unknown,0,10427
10205,25.87200000000009,5.512666666666686,11.555127262722344,3,962.8885696816116,0.6777796560979634,map,10.0,34,10485,False,unknown,0,10428
10206,26.194666666666755,6.0960000000000205,11.55446608540728,2,1223.8574127376726,0.8605851044952341,map,10.0,34,10486,False,unknown,0,10429
10207,25.15400000000008,5.538000000000019,11.553990976082783,3,994.4058850387038,0.6999351556462994,map,10.0,34,10487,False,unknown,0,10430
10208,25.170666666666754,5.770666666666687,11.5536828094541,2,965.8281719809764,0.6795463856789922,map,10.0,34,10488,False,unknown,0,10431
10209,25.32000000000008,5.045333333333351,11.553649989050047,3,1046.946502066765,0.7375042757618726,map,10.0,34,10489,False,unknown,0,10432
10210,25.645333333333404,6.470000000000022,11.552018971283854,4,860.9811281698065,0.6049847660950808,map,10.0,34,10490,False,unknown,0,10433
10211,25.46200000000009,5.5866666666666855,11.551914455938723,2,938.9279262369196,0.6608307708136657,map,10.0,34,10491,False,unknown,0,10434
10212,25.092000000000088,5.831333333333353,11.55159523977634,3,949.9731175398,0.6683190644664623,map,10.0,34,10492,False,unknown,0,10435
10213,25.18333333333341,5.312666666666685,11.551549185540331,2,1064.5604500531704,0.749594386546523,map,10.0,34,10493,False,unknown,0,10436
10214,26.71333333333342,6.126000000000021,11.550307982761298,2,1061.4275317409924,0.7463265966008765,map,10.0,34,10494,False,unknown,0,10437
10215,26.82866666666676,6.217333333333355,11.548826739557333,4,1061.5450544505395,0.7462813531403609,map,10.0,34,10495,False,unknown,0,10438
10216,26.87866666666676,6.098666666666687,11.548526864045146,3,1122.9767208428625,0.7896444434660208,map,10.0,34,10496,False,unknown,0,10439
10217,25.866666666666745,6.200000000000021,11.547567117179971,3,1123.801108714663,0.7900739736778024,map,10.0,34,10497,False,unknown,0,10440
10218,25.92000000000009,5.950666666666687,11.545877882768036,3,1052.8005337954314,0.7405003272978722,map,10.0,34,10498,False,unknown,0,10441
10219,25.47600000000008,5.974666666666687,11.545622410220137,3,865.0332716304338,0.6084052589281267,map,10.0,34,10499,False,unknown,0,10442
10220,26.18266666666676,6.658666666666689,11.545615739644004,4,962.4365217991896,0.6760182022657022,map,10.0,34,10500,False,unknown,0,10443
10221,25.03266666666676,7.104000000000024,11.543790726039344,3,890.2378291383309,0.6247935344858898,map,10.0,34,10501,False,unknown,0,10444
10222,26.80866666666676,5.5466666666666855,11.543752114514083,3,973.7459230141084,0.6853832502403595,map,10.0,34,10502,False,unknown,0,10445
10223,25.974666666666742,6.716000000000022,11.543576179440878,4,918.6375946229224,0.6451786249357224,map,10.0,34,10503,False,unknown,0,10446
10224,27.00400000000009,6.014000000000021,11.543487502015653,3,1116.3411247410982,0.785101691231374,map,10.0,34,10504,False,unknown,0,10447
10225,25.83733333333341,6.654000000000022,11.541163455315475,3,974.9651177380792,0.6848248110825164,map,10.0,34,10505,False,unknown,0,10448
10226,25.478666666666765,5.905333333333354,11.541155204713183,3,864.4936959284047,0.608102651250952,map,10.0,34,10506,False,unknown,0,10449
10227,26.655333333333417,5.116666666666685,11.54073552324854,4,994.4875434602612,0.7004722458655933,map,10.0,34,10507,False,unknown,0,10450
10228,24.97466666666676,5.763333333333353,11.54000443425352,3,964.5487883159828,0.6786550472971092,map,10.0,34,10508,False,unknown,0,10451
10229,25.02400000000009,6.434666666666688,11.536473981196458,1,766.218615861723,0.5384357137645217,map,10.0,34,10509,False,unknown,0,10452
10230,25.75533333333342,6.97066666666669,11.53629667667748,2,881.0697424697835,0.6184633083607372,map,10.0,34,10510,False,unknown,0,10453
10231,25.96133333333342,6.04400000000002,11.53585180965418,4,1128.404429774878,0.793542159016615,map,10.0,34,10511,False,unknown,0,10454
10232,25.413333333333423,5.870666666666686,11.535754650386243,3,867.1533140761981,0.6100116630868282,map,10.0,34,10512,False,unknown,0,10455
10233,26.96600000000009,6.071333333333354,11.535682321267773,2,1121.927544466271,0.7889471292734325,map,10.0,34,10513,False,unknown,0,10456
10234,26.15466666666676,5.10333333333335,11.535407482776804,2,983.9646818479332,0.6930749031014056,map,10.0,34,10514,False,unknown,0,10457
10235,25.71666666666676,5.632666666666686,11.53420097366196,2,906.9989933093078,0.6383081928616909,map,10.0,34,10515,False,unknown,0,10458
10236,26.45066666666675,5.95000000000002,11.53383056681512,2,1092.1223425194146,0.7681587441862783,map,10.0,34,10516,False,unknown,0,10459
10237,26.559333333333413,5.681333333333352,11.532749605386638,4,1010.205276522806,0.7108809286934737,map,10.0,34,10517,False,unknown,0,10460
10238,26.94866666666675,6.891333333333357,11.530303424870516,2,997.33282138541,0.7001921404121877,map,10.0,34,10518,False,unknown,0,10461
10239,25.605333333333405,5.958666666666687,11.530119747195627,2,841.1626196858864,0.591633539918114,map,10.0,34,10519,False,unknown,0,10462
10240,26.788000000000096,6.175333333333354,11.529736554989723,2,1056.8949596141442,0.7430708380646631,map,10.0,34,10520,False,unknown,0,10463
10241,26.36666666666673,6.01200000000002,11.529111715900925,2,1103.861315392934,0.7763277085186147,map,10.0,34,10521,False,unknown,0,10464
