,RADeg,decDeg,SNR,numSigPix,deltaT_c,fluxmJy,method,catalog_idx,snr_threshold,iter_num,idx,remeasured,component,patch_num,patch_idx
18,25.471333333333423,4.970666666666683,90.4196262794521,23,465.093537287983,1.5978764301793758,catalog,18053,75.0,3,29,False,radio,0,22
19,25.97600000000008,6.978666666666691,88.90421189067858,22,412.1386364429663,1.410760290602825,catalog,2051,75.0,3,30,False,cib,0,23
20,26.142666666666763,5.156666666666684,83.40033235119375,13,456.1813064077479,1.566806949725928,catalog,15845,75.0,3,31,False,radio,0,24
21,26.708666666666765,5.303333333333351,83.16193608800995,15,457.14883980770594,1.569762089582471,catalog,2835,75.0,3,32,False,radio,0,25
22,25.330666666666744,6.408000000000022,79.19097017370623,9,353.8410323414223,1.21262331162932,catalog,19982,75.0,3,33,False,radio,0,27
23,26.206000000000085,6.022666666666687,77.43940105382524,5,389.4647523811741,1.335684652204757,catalog,22576,75.0,3,34,False,radio,0,30
24,25.38000000000008,5.709333333333353,75.62352814933308,1,349.2409854350344,1.198409257143811,map,-1,75.0,3,35,False,radio,0,31
100097,26.680000000000096,5.029333333333351,73.56699033715137,49,286.80017243288825,0.9852436700620598,catalog,43065,50.0,31,36,True,radio,0,102772
25,26.586000000000087,4.96333333333335,73.27004660607436,48,383.26160704570776,1.316749106891172,catalog,56291,50.0,4,37,False,radio,0,34
26,24.91133333333341,6.403333333333356,70.61214506795196,46,297.5353391235299,1.0196715068183189,catalog,11107,50.0,4,38,False,radio,0,37
27,25.994666666666745,6.468666666666689,68.4089819879443,45,360.9410811806901,1.236806960189456,catalog,19638,50.0,4,39,False,radio,0,38
101143,25.719333333333413,6.999333333333357,67.4067521546851,41,220.54649805328523,0.7549026030997616,catalog,16893,50.0,52,40,True,radio,0,103830
28,26.861333333333416,5.054666666666684,66.39631669108248,38,376.58580074654185,1.2936339015322589,catalog,19300,50.0,4,41,False,radio,0,39
101110,25.871333333333425,5.558666666666685,65.0676849652639,34,212.66021685787788,0.729926005989531,catalog,16923,50.0,44,42,True,radio,0,103796
