,RADeg,decDeg,y_c,SNR,numSigPix,snr_threshold,template,iter_idx,idx,iter_num,patch_num,patch_idx
314,24.952666666666737,5.356666666666685,3.4766787811155007e-06,5.045748914438281,7,5.0,gauss0.3arcmin,37,309,14,0,314.0
315,25.472666666666758,6.952000000000024,3.468501059537948e-06,5.045724015305146,6,5.0,gauss0.3arcmin,38,310,14,0,315.0
316,25.88933333333343,6.456666666666688,2.7224192583474654e-06,5.0417991375255005,32,5.0,gauss0.75arcmin,79,311,14,0,316.0
317,25.680666666666745,6.755333333333356,3.479072455366563e-06,5.04035547013898,5,5.0,gauss0.3arcmin,39,312,14,0,317.0
318,26.76000000000009,5.158000000000017,3.069372340851128e-06,5.035756000050289,8,5.0,gauss0.45arcmin,67,313,14,0,318.0
279,25.854000000000088,6.0880000000000205,3.661383780314988e-06,5.035534949941794,5,5.0,gauss0.3arcmin,271,314,13,0,279.0
280,27.04866666666677,6.196000000000022,4.0897237524080935e-06,5.034511590632407,2,5.0,gauss0.25arcmin,130,315,13,0,280.0
281,26.472666666666743,6.113333333333354,4.1569598399833086e-06,5.033661582561673,4,5.0,gauss0.25arcmin,131,316,13,0,281.0
282,26.761333333333425,5.316000000000018,3.789353165879985e-06,5.033223361574292,5,5.0,gauss0.3arcmin,272,317,13,0,282.0
325,25.970000000000088,6.372666666666688,3.909541533213104e-06,5.032156665016083,2,5.0,gauss0.25arcmin,1,318,15,0,325.0
283,25.15400000000008,6.182000000000021,3.975287522749071e-06,5.031868158564171,2,5.0,gauss0.25arcmin,132,319,13,0,283.0
319,26.04333333333341,6.608000000000023,3.9051970673098565e-06,5.028927512928095,3,5.0,gauss0.25arcmin,19,320,14,0,319.0
326,25.00600000000008,6.495333333333355,2.522133066615578e-06,5.028461045930921,28,5.0,gauss0.75arcmin,18,321,15,0,326.0
284,26.88200000000008,5.418666666666685,3.784669474463546e-06,5.027364586550212,5,5.0,gauss0.3arcmin,273,322,13,0,284.0
285,26.048666666666755,6.500666666666689,3.3348140612470303e-06,5.020961620731163,4,5.0,gauss0.35arcmin,398,323,13,0,285.0
327,26.273333333333422,6.669333333333356,2.9993359662992284e-06,5.007918760187124,3,5.0,gauss0.4arcmin,7,324,15,0,327.0
320,25.70400000000007,5.676000000000019,2.9684387132475703e-06,5.004132467416392,2,5.0,gauss0.45arcmin,68,325,14,0,320.0
321,25.180666666666752,6.961333333333357,3.435230568475231e-06,5.0033755795717525,1,5.0,gauss0.3arcmin,43,326,14,0,321.0
328,26.006666666666764,5.636666666666685,3.258870303541565e-06,5.001631302333615,1,5.0,gauss0.35arcmin,0,327,16,0,328.0
286,25.95066666666676,5.404666666666685,4.099172237065372e-06,5.001096784103683,2,5.0,gauss0.25arcmin,137,328,13,0,286.0
329,26.79733333333343,5.817333333333353,2.875949222962248e-06,5.000712095910913,1,5.0,gauss0.5arcmin,1,329,16,0,329.0
330,25.24466666666674,5.751333333333353,3.85032025394244e-06,4.993441741102656,80,4.0,gauss0.25arcmin,0,330,17,0,330.0
331,26.295333333333414,6.024666666666687,3.948612682730451e-06,4.988308302105607,88,4.0,gauss0.25arcmin,1,331,17,0,331.0
332,25.97533333333341,6.157333333333355,3.933162904750058e-06,4.988120479830614,102,4.0,gauss0.25arcmin,2,332,17,0,332.0
333,25.70000000000008,6.053333333333354,3.903240722128736e-06,4.98639016646202,75,4.0,gauss0.25arcmin,3,333,17,0,333.0
334,25.346666666666756,5.214666666666684,3.0439623404519875e-06,4.977521239143549,221,4.0,gauss0.4arcmin,631,334,17,0,334.0
335,26.505333333333425,5.626666666666686,4.024381883883671e-06,4.96594084815943,79,4.0,gauss0.25arcmin,4,335,17,0,335.0
336,26.570666666666742,5.191333333333351,4.04229064481717e-06,4.96076700405278,60,4.0,gauss0.25arcmin,5,336,17,0,336.0
337,26.270000000000092,5.083333333333351,3.520182201245521e-06,4.957705747896791,112,4.0,gauss0.3arcmin,252,337,17,0,337.0
338,26.59533333333342,6.01200000000002,3.956239666826845e-06,4.951467751820251,86,4.0,gauss0.25arcmin,6,338,17,0,338.0
339,25.46733333333341,5.352666666666685,3.191449783738641e-06,4.947546892411832,159,4.0,gauss0.35arcmin,466,339,17,0,339.0
340,25.896666666666743,6.77466666666669,3.812462794354129e-06,4.946563606844297,91,4.0,gauss0.25arcmin,8,340,17,0,340.0
341,25.11066666666676,5.839333333333353,3.38225916859308e-06,4.945848994118251,114,4.0,gauss0.3arcmin,253,341,17,0,341.0
342,25.653333333333407,5.679333333333353,3.868366675442495e-06,4.945495366088581,66,4.0,gauss0.25arcmin,9,342,17,0,342.0
343,26.475333333333428,5.63400000000002,3.999530286003478e-06,4.9401157510877525,117,4.0,gauss0.25arcmin,10,343,17,0,343.0
344,25.078000000000078,5.81800000000002,3.796707218923431e-06,4.9344412401192255,97,4.0,gauss0.25arcmin,12,344,17,0,344.0
